time,month,temperature
1864,jan,-7.1
1864,feb,-4.52
1864,mar,0.04
1864,apr,2.11
1864,may,7.43
1864,jun,9.48
1864,jul,12.37
1864,aug,10.95
1864,sep,8.59
1864,oct,3.5
1864,nov,-0.51
1864,dec,-4.47
1865,jan,-3.47
1865,feb,-6.25
1865,mar,-5.91
1865,apr,7.03
1865,may,10.09
1865,jun,10.98
1865,jul,13.99
1865,aug,11.16
1865,sep,11.9
1865,oct,5.19
1865,nov,1.26
1865,dec,-3.07
1866,jan,-1.31
1866,feb,-0.42
1866,mar,-1.0
1866,apr,4.11
1866,may,4.95
1866,jun,12.02
1866,jul,12.25
1866,aug,9.98
1866,sep,9.7
1866,oct,5.34
1866,nov,-0.2
1866,dec,-0.49
1867,jan,-3.87
1867,feb,0.56
1867,mar,-0.13
1867,apr,3.49
1867,may,7.74
1867,jun,10.57
1867,jul,11.29
1867,aug,12.93
1867,sep,10.43
1867,oct,2.92
1867,nov,-1.43
1867,dec,-5.8
1868,jan,-5.46
1868,feb,-1.53
1868,mar,-2.3
1868,apr,2.33
1868,may,12.04
1868,jun,11.97
1868,jul,12.89
1868,aug,12.5
1868,sep,11.12
1868,oct,4.76
1868,nov,-1.98
1868,dec,1.27
1869,jan,-4.62
1869,feb,1.28
1869,mar,-4.25
1869,apr,4.53
1869,may,8.92
1869,jun,8.26
1869,jul,14.82
1869,aug,10.86
1869,sep,10.35
1869,oct,2.3
1869,nov,0.09
1869,dec,-4.18
1870,jan,-5.47
1870,feb,-4.23
1870,mar,-2.59
1870,apr,2.81
1870,may,8.89
1870,jun,11.41
1870,jul,14.4
1870,aug,9.84
1870,sep,8.16
1870,oct,4.06
1870,nov,-0.14
1870,dec,-6.81
1871,jan,-7.82
1871,feb,-1.96
1871,mar,0.02
1871,apr,3.53
1871,may,6.66
1871,jun,7.27
1871,jul,13.14
1871,aug,12.6
1871,sep,11.33
1871,oct,3.31
1871,nov,-2.85
1871,dec,-8.3
1872,jan,-3.22
1872,feb,-2.09
1872,mar,0.47
1872,apr,3.95
1872,may,6.07
1872,jun,10.08
1872,jul,13.45
1872,aug,10.87
1872,sep,10.18
1872,oct,5.33
1872,nov,1.78
1872,dec,-0.77
1873,jan,-2.19
1873,feb,-3.85
1873,mar,1.66
1873,apr,1.62
1873,may,5.1
1873,jun,10.54
1873,jul,14.52
1873,aug,13.55
1873,sep,8.67
1873,oct,5.45
1873,nov,0.65
1873,dec,-2.88
1874,jan,-3.14
1874,feb,-4.07
1874,mar,-1.29
1874,apr,4.59
1874,may,3.96
1874,jun,11.29
1874,jul,15.01
1874,aug,10.91
1874,sep,10.99
1874,oct,5.71
1874,nov,-2.12
1874,dec,-6.34
1875,jan,-1.77
1875,feb,-6.47
1875,mar,-2.14
1875,apr,2.9
1875,may,9.49
1875,jun,11.38
1875,jul,11.44
1875,aug,13.57
1875,sep,10.64
1875,oct,3.8
1875,nov,-1.14
1875,dec,-5.52
1876,jan,-4.41
1876,feb,-2.37
1876,mar,-0.88
1876,apr,2.92
1876,may,4.41
1876,jun,10.52
1876,jul,13.58
1876,aug,13.1
1876,sep,7.9
1876,oct,7.25
1876,nov,-1.2
1876,dec,-0.09
1877,jan,-1.64
1877,feb,-1.79
1877,mar,-2.32
1877,apr,2.56
1877,may,4.95
1877,jun,13.39
1877,jul,11.83
1877,aug,13.51
1877,sep,7.28
1877,oct,2.7
1877,nov,1.72
1877,dec,-3.45
1878,jan,-5.82
1878,feb,-1.76
1878,mar,-2.24
1878,apr,3.13
1878,may,8.27
1878,jun,10.2
1878,jul,11.91
1878,aug,12.16
1878,sep,9.43
1878,oct,5.45
1878,nov,-2.0
1878,dec,-6.36
1879,jan,-4.1
1879,feb,-2.59
1879,mar,0.08
1879,apr,0.93
1879,may,3.42
1879,jun,10.83
1879,jul,9.79
1879,aug,14.02
1879,sep,9.31
1879,oct,3.99
1879,nov,-3.14
1879,dec,-8.4
1880,jan,-6.41
1880,feb,-2.06
1880,mar,2.18
1880,apr,3.73
1880,may,6.21
1880,jun,8.91
1880,jul,13.68
1880,aug,11.13
1880,sep,9.65
1880,oct,5.41
1880,nov,1.14
1880,dec,0.44
1881,jan,-6.82
1881,feb,-1.95
1881,mar,1.12
1881,apr,2.7
1881,may,6.42
1881,jun,9.91
1881,jul,15.24
1881,aug,12.71
1881,sep,7.46
1881,oct,1.16
1881,nov,2.86
1881,dec,-2.92
1882,jan,-2.01
1882,feb,-2.38
1882,mar,1.67
1882,apr,2.8
1882,may,7.56
1882,jun,9.55
1882,jul,10.95
1882,aug,10.29
1882,sep,7.41
1882,oct,5.1
1882,nov,0.09
1882,dec,-2.14
1883,jan,-3.2
1883,feb,-1.1
1883,mar,-4.36
1883,apr,1.89
1883,may,7.32
1883,jun,9.84
1883,jul,10.9
1883,aug,11.64
1883,sep,8.15
1883,oct,3.85
1883,nov,0.22
1883,dec,-3.65
1884,jan,-1.74
1884,feb,-1.28
1884,mar,0.8
1884,apr,2.47
1884,may,8.5
1884,jun,7.4
1884,jul,13.19
1884,aug,12.63
1884,sep,9.4
1884,oct,3.26
1884,nov,-1.66
1884,dec,-2.54
1885,jan,-6.02
1885,feb,-0.03
1885,mar,-0.49
1885,apr,3.8
1885,may,4.85
1885,jun,12.3
1885,jul,13.75
1885,aug,11.8
1885,sep,8.54
1885,oct,2.58
1885,nov,1.21
1885,dec,-3.11
1886,jan,-5.24
1886,feb,-5.25
1886,mar,-1.85
1886,apr,4.35
1886,may,7.55
1886,jun,8.78
1886,jul,13.09
1886,aug,12.12
1886,sep,11.24
1886,oct,6.04
1886,nov,0.56
1886,dec,-3.82
1887,jan,-5.76
1887,feb,-4.93
1887,mar,-2.2
1887,apr,2.47
1887,may,4.55
1887,jun,11.89
1887,jul,14.59
1887,aug,12.08
1887,sep,8.27
1887,oct,0.75
1887,nov,-0.77
1887,dec,-5.41
1888,jan,-5.32
1888,feb,-5.26
1888,mar,-2.34
1888,apr,0.99
1888,may,8.05
1888,jun,10.8
1888,jul,10.02
1888,aug,10.81
1888,sep,9.45
1888,oct,2.39
1888,nov,1.16
1888,dec,-1.85
1889,jan,-4.78
1889,feb,-6.14
1889,mar,-3.6
1889,apr,1.32
1889,may,8.49
1889,jun,11.67
1889,jul,11.69
1889,aug,11.08
1889,sep,7.48
1889,oct,3.86
1889,nov,0.66
1889,dec,-5.47
1890,jan,-1.3
1890,feb,-5.66
1890,mar,-0.78
1890,apr,2.3
1890,may,7.95
1890,jun,9.53
1890,jul,10.72
1890,aug,11.45
1890,sep,8.27
1890,oct,2.97
1890,nov,-0.96
1890,dec,-6.74
1891,jan,-8.52
1891,feb,-4.02
1891,mar,-1.61
1891,apr,0.49
1891,may,6.76
1891,jun,10.47
1891,jul,11.27
1891,aug,10.57
1891,sep,9.82
1891,oct,5.89
1891,nov,-0.24
1891,dec,-1.93
1892,jan,-4.41
1892,feb,-2.62
1892,mar,-3.41
1892,apr,3.22
1892,may,7.32
1892,jun,10.89
1892,jul,12.04
1892,aug,13.38
1892,sep,9.76
1892,oct,3.8
1892,nov,2.08
1892,dec,-4.81
1893,jan,-8.48
1893,feb,-2.44
1893,mar,0.74
1893,apr,6.33
1893,may,6.99
1893,jun,10.81
1893,jul,12.32
1893,aug,13.31
1893,sep,9.25
1893,oct,6.37
1893,nov,-0.69
1893,dec,-3.32
1894,jan,-5.06
1894,feb,-2.61
1894,mar,-0.11
1894,apr,4.96
1894,may,6.39
1894,jun,9.93
1894,jul,13.03
1894,aug,11.73
1894,sep,7.84
1894,oct,4.48
1894,nov,1.66
1894,dec,-3.99
1895,jan,-8.66
1895,feb,-9.26
1895,mar,-2.18
1895,apr,4.17
1895,may,6.87
1895,jun,10.52
1895,jul,13.24
1895,aug,11.98
1895,sep,12.61
1895,oct,4.0
